RMSD	RMS_M	AMP	ATP	Theta1	Theta2
NaN	32.4692252718	22.4310971474	30.0938362062	92.4553628921	82.1406546335
3.37393	31.8135389288	22.645943051	29.1808175574	73.0460082101	78.1242584089
3.06518	32.406395352	23.3668661193	29.8199779731	84.9007650373	75.7357951443
3.25644	32.195661103	23.3032226522	29.4926326095	74.5309979327	77.4792920173
2.7436	32.1104223536	22.6851623714	29.4750021598	84.6739629535	76.9456793023
3.23755	31.9361498799	22.7522531811	29.3204727733	83.8589601767	79.0482528904
3.26674	32.188776622	23.4438709471	29.6318341446	84.2004210351	78.4911681387
3.52103	32.1798789988	22.7902033961	29.6080458813	75.4237572268	76.5927101146
3.63449	31.8844573863	22.568269582	29.3297010195	73.7225380457	77.482724905
2.88478	32.0932492786	22.8941141866	29.4735320617	85.9654735046	77.8993949966
2.83196	32.1669229812	22.8121664276	29.378109686	84.7099706242	74.2685828308
2.68532	32.2426327784	23.1940152539	29.58573553	86.8105163967	75.7115684507
2.86111	32.1171064698	23.0252692324	29.3546763234	85.5782389281	76.7434465004
2.88058	32.06610202	22.7895830169	29.4482122237	86.0869707887	76.0286610779
3.63787	31.8503284972	22.9979408228	29.2792347312	83.8016541178	79.1583238273
2.8859	32.0676519241	22.677449071	29.4001044878	85.6280366049	76.8660143219
2.85929	32.4420385402	23.8557220963	29.7231887142	85.8093758638	76.854647163
2.7245	32.0904240213	22.7790200837	29.4604673575	86.0556921424	76.1650986823
2.99487	32.3598362944	23.2599675079	29.7164901315	86.5578096445	74.4001404364
2.75479	32.3440184275	22.9349458542	29.7667218362	84.7530021153	72.8982283317
2.83872	32.0625438548	22.7780954319	29.2783613424	85.0256500986	77.1909677659
3.39034	31.8510385376	22.6399672209	29.2437095732	73.0944439043	78.7262019148
3.47232	32.0633676706	23.3189525556	29.6773933436	74.9672875654	77.3125081845
3.32204	31.9303200173	22.6567022667	29.1165126961	72.7744719111	78.2023635818
3.48972	31.9573572044	22.7123872323	29.3712529695	73.3557247636	77.472442043
3.34881	32.2643710102	23.4534008628	29.5389470549	84.5197983941	75.1422664203
2.86035	32.165154086	22.9224940567	29.4522251901	85.5938598757	77.1307840005
2.88687	32.0963676342	22.9580800933	29.3623248219	86.3132681037	75.9517397696
2.86466	31.9358601825	22.6720805515	29.323629455	86.2225826908	72.6333280304
3.29143	31.9641630265	22.9251183151	29.4542054084	82.8020510004	78.2197383063
3.12645	31.8873480518	22.8501171685	29.5613333511	84.4610772958	79.0937896215
3.19743	32.3818843519	23.886862504	29.7218533807	86.9252340776	76.0473506498
2.83946	32.174624932	22.8087036487	29.3731819237	85.507987641	74.6333233436
2.86123	32.1555481415	22.9072428408	29.4129104109	86.4338124156	74.8952528926
2.81704	32.1000835119	23.1048231422	29.4098807739	86.5778679793	77.0085031205
3.06933	31.9103763722	22.8913670849	29.4159443994	84.2878390542	79.3174878884
2.97762	32.0835186268	22.8177985802	29.4618860802	86.0198555062	76.990795878
3.17293	32.0371504263	22.6248539373	29.4280566041	75.1890507881	78.6611271362
3.07869	31.9190465839	22.7103719839	29.354475051	86.3523735419	75.8474448208
2.88711	32.1442433129	22.8094064444	29.4028648771	85.8648254881	76.15708455
3.21867	31.9048535882	22.683694944	29.3525964095	73.9411214273	78.9659512012
2.7856	32.4677535613	23.8133706015	29.6399322399	88.4324566108	76.6818193542
3.1889	32.2510247753	23.3716895021	29.4799886106	86.364437842	73.3141097621
2.81422	32.1783257359	22.8859509138	29.5169958148	85.2978018732	75.0596628264
2.78057	32.0928273831	22.6605763499	29.3400736304	84.7083943914	77.1317095845
2.85713	31.9992669438	22.7830055754	29.6002530962	86.7783431162	77.0959913532
3.63576	32.2660813377	23.7440033305	29.4845607841	74.0269491415	76.0344741945
2.81397	32.1539608683	22.8923458513	29.4215791926	85.3825521312	76.7820711082
2.69634	32.1666676868	22.8048433803	29.5775343974	86.5051921451	73.2918831141
3.4021	32.0449744096	22.6083110748	29.519370405	86.9264509322	75.6975658369
2.98793	32.0244087772	22.7869744825	29.3035642312	85.1986076239	75.7821674807
